Park,PlotID,Date,Observers,GroundCover,VegetationLevels,PastLandUse,Coordinates,Temperature,DensiometerN,DensiometerS,DensiometerE,DensiometerW,Comments,Park size,Established,Park age,Conservation area,Complexity
Botanical Gardens ,IND7-LOW04,06/29/2022,"IR,EP,LG",grass,overstory,Industrial,"45°33.766'N, 073°34.166'W","22°C, overcast and rainy ",9,45,7,36,,,,,,
Botanical Gardens ,IND7-MED02,06/29/2022,"IR,EP,LG","grass, leaf litter ",overstory,Industrial,"45°33.764'N, 073°34.189'W","21°C, overcast",6,91,14,82,,,,,,
Botanical Gardens ,IND7-MED04,06/29/2022,"IR,EP,LG","grass, bare dirt ",overstory,Industrial,"45°33.714'N, 073°34.200'W","24°C, overcast ",51,21,87,89,,,,,,
Botanical Gardens ,IND7-MED05 ,06/29/2022,"IR,EP,LG","grass, cement ",overstory,Industrial,"45°33.701'N, 073°34.188'W","26°C, sunny",81,95,91,81,,,,,,
Lafond ,IND8-HIGH01,06/20/2022,"EP,IR,MP",grass,overstory,Industrial ,"45°33.160'N, 073°34.173'W","20°C, sunny ",94,96,78,93,,,,,,
Lafond ,IND8-HIGH03,06/20/2022,"EP,IR,MP","grass, cement path ",overstory,Industrial ,"45°33.154'N, 073°33.979'W","20°C, sunny ",16,88,12,57,,,,,,
Lafond ,IND8-HIGH04,06/20/2022,"EP,IR,MP","grass, bare soil, leaf litter ",overstory,Industrial ,"45°33.122'N, 073°34.193'W","20°C, sunny ",93,94,90,96,,,,,,
Lafond ,IND8-LOW02,06/20/2022,"EP,IR,MP","grass, cement path",overstory,Industrial,"45°33.117'N, 073°34.021'W","20°C, sunny ",0,0,0,0,,,,,,
Lafond ,IND8-LOW03,06/20/2022,"EP,IR,MP","grass, cement path ",overstory,Industrial ,"45°33.160'N, 073°34.058'W`","20°C, sunny ",15,35,19,18,,,,,,
Lafond ,IND8-LOW05,06/20/2022,"EP,IR,MP","grass, cement path ",overstory,Industrial ,"45°33.147'N, 073°34.021'W","20°C, sunny ",4,26,38,52,,,,,,
Lafond ,IND8-MED01,06/20/2022,"EP,IR,MP","grass, cement path ",overstory,Industrial,"45°33.107'N, 073°34.026'W","20°C, sunny ",20,30,69,81,,,,,,
Lafond ,IND8-MED03,06/20/2022,"EP,IR,MP","grass, cement path ",overstory,Industrial,"45°33.091'N, 073v34.040'W","20°C, sunny ",85,32,72,84,,,,,,
Lafond ,IND8-MED05,06/20/2022,"EP,IR,MP",grass,overstory,Industrial ,"45°33.182'N, 073°34.159'W","20°C, sunny ",95,5,4,96,,,,,,
Lalancette,IND9-HIGH02,08/16/2022,"AT, LG, EP","Bare soil, grass, gravel path","overstory, understory",Industrial,"45°32.950'N, 073°32.979'W","22°C, Sunny ",95,93,77,96,,,,,,
Lalancette,IND9-HIGH04,08/16/2022,"AT, LG, EP","Grass, bare soil",overstory,Industrial,"45°32.959'N, 073°32.933'W","22°C, Sunny ",90,91,92,88,,,,,,
Lalancette,IND9-HIGH05,08/16/2022,"AT, LG, EP","Grass, cement path","overstory, understory",Industrial,"45°32.927'N, 073°32.961'W","23°C, Sunny ",94,87,84,79,,,,,,
Lalancette,IND9-LOW04,08/16/2022,"AT, LG, EP","Cement path, water park, grass",overstory,Industrial,"45°32.915'N, 073°32.941'W","21°C, Sunny ",13,23,0,5,,,,,,
Lalancette,IND9-MED01,08/16/2022,"EP, LG",Cement path. grass,"shrub, overstory",Industrial,"45°32.900'N, 073°32.964'W","21°C, Sunny",35,50,5,89,,,,,,
Lalancette,IND9-MED02,08/16/2022,"AT, LG, EP","Cement path, gravel lawn, grass",overstory,Industrial,"45°32.888'N, 073°32.934'W","21°C, Sunny",3,87,60,67,,,,,,
Lalancette,IND9-MED03,08/16/2022,"AT, LG, EP","Cement, grass, woodchips (playground)",overstory,Industrial,"45°32.949'N, 073°32.928'W","22°C, Sunny ",14,9,27,70,,,,,,
